a,b,m,s
2.854259143,0.34237066,1.446911923,0.306225474
57.64767087,13.96642583,4.54915652,0.419316266
7.839459288,2.042212122,0.837381173,0.327284985
15.76268013,3.602040535,2.999259871,0.451580612
5.694790797,1.366482995,1.470594134,0.306396465
5.755280625,0.792736236,2.373568965,0.342956892
5.457308988,1.262609741,1.938717975,0.392305659
6.600313488,1.858044725,1.723026716,0.444730259
5.395804654,1.217123173,1.609898569,0.357803721
20.47233062,3.857241527,3.153020359,0.3465612
15.41285804,4.15274604,2.182038117,0.272478466
4.967458764,0.801270951,1.752847855,0.386751742
63.0430782,18.7853539,4.21332591,0.329098358
81.93586503,26.19499539,-11.26042938,0.507875044
5.765507883,1.35188651,2.022361769,0.432638712
4.314424156,0.598831693,2.312166327,0.494494964
201.4382378,63.48634026,-10.79722173,0.471920712
3.995728759,0.588036774,1.884350334,0.377036688
67.67009787,21.15650404,-9.16816535,0.363002263
4.266594642,0.822589955,2.388899649,0.505116888
5.483366601,0.791367957,2.717864584,0.437271092
8.478946319,1.753229617,2.645564126,0.425080042
81.78566517,19.17061795,5.06686425,0.397348098
69.44600194,21.25207935,4.144951663,0.377273082
79.94558533,22.72998525,4.860212244,0.387895862
3.917368833,0.843909659,1.563938702,0.378098029
2.490404938,0.278124655,1.568386917,0.405252721
6.095463098,1.440402492,1.776790199,0.352209298
9.116453135,1.502462158,2.2650614,0.294741308
3.468598495,0.623172652,1.791449284,0.397561946
2.658948027,0.227041004,1.730813775,0.289674796
6.797282336,1.957309202,1.437392644,0.216658527
8.925405092,2.030801423,2.269065354,0.395927879
2.66628403,0.439556534,1.533959021,0.442169488
3.727013751,0.618794118,1.845451499,0.356023299
5.52272303,1.186763405,1.980614206,0.258799767
4.368893279,0.797974602,1.490551157,0.354627278
16.97060377,4.405410402,2.142384917,0.298793745
2.705855397,0.319919958,1.484583815,0.310591165
11.56139603,3.171362632,2.422027024,0.351773901
3.769210831,0.385118235,2.166358776,0.391098637
22.64450435,8.037468073,2.332698027,0.288198998
14.19480268,3.763349694,2.759014551,0.395664591
8.828249544,2.041477465,2.353420427,0.33749145
4.987380205,0.940230331,1.998756035,0.395154628
4.534412375,1.080653151,1.309337764,0.364981988
3.95373142,0.68310916,1.861841792,0.399328613
3.968850695,0.633841749,1.671893176,0.365886896
7.177990952,1.731294563,1.809425428,0.329170042
366.2014396,106.91197,-6.444133483,0.398427649
5.917507517,1.227270663,2.163226921,0.406038649
4.34297932,0.874593242,1.817471716,0.424613518
15.18933208,5.338464303,-7.12962314,0.362325143
3.647348387,0.622970437,1.806347321,0.319409949
5.038485983,0.677821469,2.351151935,0.4043663
6.474717308,1.521796245,2.554014219,0.501045095
32.69156235,8.061169251,2.990036699,0.269518386
8.164912827,2.163916373,1.772365608,0.446649142
3.753572968,0.771267124,1.450883026,0.319203072
4.048885596,0.664756462,1.580823009,0.344560858
6.330990875,1.492439601,2.289428794,0.463064539
15.90327381,4.85927043,3.063286384,0.443623757
771.0190622,196.8055005,-11.23480033,0.315019316
14.3437484,2.837467254,3.035916628,0.402415045
5.632586076,1.538016039,1.67254174,0.362783577
2.967192178,0.327659764,1.380780556,0.35007119
58.21021004,19.50788747,-9.950034464,0.464375384
